CCode1,Depend1,CType,CCode2,Depend2,BegYear,EndYear,Version
2,3,1,20,0,1920,1958,3
2,1044,5,31,0,1973,2002,3
2,1044,4,40,0,1916,2002,3
2,1087,5,40,0,1909,1971,3
2,1087,5,40,0,1902,1905,3
2,1044,4,41,0,1934,2002,3
2,5,5,42,0,1924,2002,3
2,6,4,42,0,1924,2002,3
2,6,4,42,0,1898,1915,3
2,1044,4,51,0,1962,2002,3
2,1087,5,51,0,1962,1971,3
2,5,5,54,0,1978,2002,3
2,6,5,54,0,1978,2002,3
2,5,5,56,0,1979,2002,3
2,5,5,57,0,1979,2002,3
2,5,5,58,0,1981,2002,3
2,6,5,58,0,1981,2002,3
2,5,4,60,0,1983,2002,3
2,6,5,60,0,1983,2002,3
2,1087,5,70,0,1863,1971,3
2,1087,4,91,0,1899,1971,3
2,96,5,93,0,1903,1978,3
2,1088,4,93,0,1916,1970,3
2,96,5,94,0,1920,1978,3
2,1088,4,94,0,1920,1970,3
2,96,1,95,0,1920,1978,3
2,1088,5,95,0,1920,1970,3
2,96,5,100,0,1903,1978,3
2,1087,5,100,0,1928,1971,3
2,1088,4,100,0,1928,1970,3
2,5,5,101,0,1917,2002,3
2,5,5,200,59,1962,2002,3
2,5,2,200,1061,1956,2002,3
2,5,4,200,1062,1969,2002,3
2,6,5,200,59,1962,2002,3
2,6,5,200,1032,1973,2002,3
2,6,4,200,1061,1956,2002,3
2,6,4,200,1062,1969,2002,3
2,1044,5,200,1032,1973,2002,3
2,1044,5,200,1033,1962,2002,3
2,5,4,200,60,1962,1982,3
2,6,5,200,60,1969,1982,3
2,5,5,200,58,1962,1980,3
2,6,5,200,58,1962,1980,3
2,5,5,200,57,1962,1979,3
2,5,5,200,56,1962,1978,3
2,980,5,200,946,1975,1978,3
2,9740,4,200,946,1975,1978,3
2,9770,5,200,946,1975,1978,3
2,5,5,200,54,1962,1977,3
2,6,5,200,54,1962,1977,3
2,980,5,200,945,1947,1974,3
2,9740,4,200,945,1960,1974,3
2,9770,5,200,945,1935,1974,3
2,1044,5,200,31,1916,1972,3
2,0,4,200,31,1865,1972,3
2,1087,5,200,80,1884,1971,3
